,brand,price,year,mileage
658,Audi,15990,2017,53000
659,Abarth,18490,2018,74552
660,Ford,18490,2019,25396
661,Audi,21990,2017,106455
662,SEAT,7990,2013,144000
663,BMW,18490,2016,122916
664,Kia,13490,2018,91388
665,Volkswagen,14990,2015,111240
666,SEAT,16990,2018,19754
667,Audi,24990,2019,30450
668,Kia,10990,2020,14000
669,Audi,12990,2015,95100
670,BMW,22990,2016,104000
671,Renault,6990,2012,131783
672,Ford,9990,2012,110155
673,SEAT,10990,2014,138000
674,Toyota,13990,2018,65000
675,Renault,16990,2018,45000
676,Volkswagen,24990,2019,52444
677,Citroen,10490,2018,20674
678,Mazda,14590,2016,62858
679,Chevrolet,6490,2011,97806
680,BMW,25990,2021,28237
681,Toyota,16490,2015,131023
682,BMW,9990,2013,181200
683,BMW,26840,2021,24000
684,Volkswagen,17990,2019,26951
685,Mercedes,7790,2011,60000
686,Renault,17990,2018,56000
687,Peugeot,17990,2020,22577
688,Audi,31490,2015,146000
689,Kia,16290,2021,13590
690,Volkswagen,14990,2014,162895
691,Hyundai,16690,2018,68750
692,Citroen,11490,2017,49200
693,Mini,13990,2015,136800
694,Audi,7780,2011,147000
695,Ford,13990,2020,40700
696,BMW,17490,2017,97570
697,Peugeot,14990,2019,27500
698,Mitsubishi,12990,2015,74000
699,Abarth,12490,2015,80561
700,Mini,11750,2014,120000
701,BMW,13990,2011,155044
702,Audi,13990,2016,134535
703,SEAT,22790,2018,82490
704,Toyota,14990,2018,60000
705,Ford,7490,2015,146388
706,SEAT,12950,2018,55548
707,Nissan,17490,2017,97900
708,Ford,4990,2011,116300
709,BMW,9990,2007,145500
710,Opel,12990,2017,87000
711,Peugeot,7490,2010,107108
712,Mini,19490,2017,56819
713,Land,17990,2011,118300
714,Nissan,17990,2017,61000
715,Hyundai,14990,2015,113000
716,Toyota,13990,2018,61218
717,Mazda,14490,2015,84100
718,Renault,9990,2015,152710
719,Opel,6760,2012,191326
720,Audi,12490,2013,134347
721,Citroen,8980,2015,116000
722,Mini,11990,2011,124211
723,Mini,8990,2011,104000
724,Volkswagen,7990,2015,129700
725,Volkswagen,8990,2016,145700
726,Mercedes,35990,2018,103000
727,Hyundai,19490,2017,67000
728,Volkswagen,14490,2017,61071
729,Toyota,15990,2017,84735
730,Hyundai,23960,2018,68264
731,Ford,17890,2019,21287
732,BMW,16540,2017,75600
733,Skoda,6690,2015,132000
734,Hyundai,11880,2018,37044
735,Audi,15490,2016,132252
736,Renault,10520,2015,75000
737,Kia,17280,2019,70265
738,Ford,6990,2014,127916
739,Mazda,16990,2018,42875
740,BMW,13490,2016,124120
741,Audi,11990,2012,125000
742,SEAT,24980,2021,4600
743,BMW,13940,2015,130017
744,Nissan,12960,2015,83029
745,Ford,15490,2019,19200
746,Dacia,8490,2014,105948
747,Mercedes,22990,2015,65985
748,Mini,13890,2017,61842
749,SEAT,15490,2016,80600
750,SEAT,11990,2016,147676
751,SEAT,10990,2014,139500
